260112 21:45:01	1 Connect	user1@localhost on practica using TCP/IP
260110 07:42:02	151 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 07:42:34	151 Query	SHOW TABLES
260110 07:44:19	151 Query	SHOW COLUMNS FROM articulos
260110 07:44:30	151 Quit	
260110 07:13:01	152 Connect	user152@localhost on practica using TCP/IP
260110 07:13:20	152 Query	SHOW COLUMNS FROM articulos
260110 07:15:15	152 Query	SELECT * FROM articulos
260110 07:16:04	152 Query	SELECT * FROM ventas
260110 07:17:30	152 Query	SELECT * FROM ventas
260110 07:19:00	152 Query	SELECT * FROM clientes
260110 07:19:44	152 Quit	
260110 06:44:01	153 Connect	user153@localhost on practica using TCP/IP
260110 06:45:54	153 Query	SELECT * FROM proveedores
260110 06:47:50	153 Query	SELECT * FROM proveedores
260110 06:48:03	153 Query	SHOW COLUMNS FROM articulos
260110 06:49:17	153 Query	SELECT * FROM clientes
260110 06:49:54	153 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 06:51:47	153 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 06:52:37	153 Quit	
260110 06:24:01	154 Connect	user154@localhost on practica using TCP/IP
260110 06:24:24	154 Query	SHOW TABLES
260110 06:25:44	154 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 06:25:49	154 Query	SHOW COLUMNS FROM articulos
260110 06:26:27	154 Query	SELECT * FROM proveedores
260110 06:27:25	154 Quit	
260110 05:50:01	155 Connect	user155@localhost on practica using TCP/IP
260110 05:51:25	155 Query	SELECT * FROM clientes
260110 05:51:33	155 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 05:53:32	155 Query	SELECT * FROM ventas
260110 05:54:08	155 Query	SELECT * FROM clientes
260110 05:55:54	155 Query	SELECT * FROM proveedores
260110 05:56:35	155 Quit	
260110 05:28:01	156 Connect	user156@localhost on practica using TCP/IP
260110 05:28:25	156 Query	SELECT * FROM proveedores
260110 05:29:26	156 Query	SELECT * FROM articulos
260110 05:30:31	156 Query	SHOW COLUMNS FROM articulos
260110 05:31:01	156 Quit	
260110 05:12:01	157 Connect	user157@localhost on practica using TCP/IP
260110 05:12:23	157 Query	SELECT * FROM proveedores
260110 05:13:48	157 Query	SHOW COLUMNS FROM articulos
260110 05:14:54	157 Query	SELECT * FROM proveedores
260110 05:16:31	157 Query	SELECT * FROM articulos
260110 05:17:51	157 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 05:18:15	157 Quit	
260110 04:38:01	158 Connect	user158@localhost on practica using TCP/IP
260110 04:39:44	158 Query	SHOW COLUMNS FROM articulos
260110 04:40:38	158 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 04:42:03	158 Query	SELECT * FROM clientes
260110 04:42:36	158 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 04:43:34	158 Quit	
260110 04:22:01	159 Connect	user159@localhost on practica using TCP/IP
260110 04:23:12	159 Query	SELECT * FROM clientes
260110 04:24:56	159 Query	SHOW TABLES
260110 04:25:46	159 Query	SELECT * FROM proveedores
260110 04:26:28	159 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 04:27:15	159 Quit	
260110 04:06:01	160 Connect	user160@localhost on practica using TCP/IP
260110 04:07:42	160 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260110 04:09:00	160 Query	SELECT * FROM articulos
260110 04:09:09	160 Query	SELECT * FROM articulos
260110 04:09:39	160 Query	SELECT * FROM articulos
260110 04:10:05	160 Quit	
260110 03:39:01	161 Connect	user161@localhost on practica using TCP/IP
260110 03:39:49	161 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 03:41:31	161 Query	SHOW TABLES
260110 03:43:07	161 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 03:44:29	161 Query	SHOW COLUMNS FROM articulos
260110 03:45:28	161 Quit	
260110 03:01:01	162 Connect	user162@localhost on practica using TCP/IP
260110 03:02:24	162 Query	SELECT * FROM proveedores
260110 03:03:30	162 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 03:04:45	162 Query	SELECT * FROM articulos
260110 03:04:50	162 Quit	
260110 02:22:01	163 Connect	user163@localhost on practica using TCP/IP
260110 02:22:45	163 Query	SELECT * FROM proveedores
260110 02:24:23	163 Query	SHOW TABLES
260110 02:24:44	163 Query	SELECT * FROM ventas
260110 02:25:29	163 Quit	
260110 01:41:01	164 Connect	user164@localhost on practica using TCP/IP
260110 01:42:48	164 Query	SELECT * FROM proveedores
260110 01:44:44	164 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 01:46:17	164 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 01:47:52	164 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 01:49:40	164 Query	SELECT * FROM ventas
260110 01:49:46	164 Query	SHOW COLUMNS FROM articulos
260110 01:50:03	164 Quit	
260110 01:24:01	165 Connect	user165@localhost on practica using TCP/IP
260110 01:25:21	165 Query	SELECT * FROM clientes
260110 01:26:27	165 Query	SELECT * FROM articulos
260110 01:27:34	165 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 01:29:02	165 Query	SELECT * FROM proveedores
260110 01:29:36	165 Query	SELECT * FROM proveedores
260110 01:29:41	165 Query	SELECT * FROM proveedores
260110 01:30:21	165 Quit	
260110 00:56:01	166 Connect	user166@localhost on practica using TCP/IP
260110 00:56:34	166 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 00:57:38	166 Query	SHOW TABLES
260110 00:59:27	166 Query	SELECT * FROM ventas
260110 01:00:25	166 Query	SELECT * FROM ventas
260110 01:01:03	166 Quit	
260110 00:41:01	167 Connect	user167@localhost on practica using TCP/IP
260110 00:42:13	167 Query	SELECT * FROM articulos
260110 00:42:47	167 Query	SELECT * FROM clientes
260110 00:43:59	167 Query	SELECT * FROM ventas
260110 00:45:42	167 Query	SELECT * FROM ventas
260110 00:46:54	167 Query	SELECT * FROM ventas
260110 00:47:34	167 Quit	
260110 00:09:01	168 Connect	user168@localhost on practica using TCP/IP
260110 00:10:51	168 Query	SELECT * FROM clientes
260110 00:12:46	168 Query	SELECT * FROM ventas
260110 00:13:05	168 Query	SHOW TABLES
260110 00:13:53	168 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260110 00:14:33	168 Query	SELECT * FROM articulos
260110 00:14:43	168 Quit	
260109 23:31:01	169 Connect	user169@localhost on practica using TCP/IP
260109 23:32:35	169 Query	SELECT * FROM articulos
260109 23:33:13	169 Query	SHOW TABLES
260109 23:33:41	169 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 23:34:27	169 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 23:34:39	169 Quit	
260109 22:48:01	170 Connect	user170@localhost on practica using TCP/IP
260109 22:48:22	170 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 22:49:35	170 Query	SHOW TABLES
260109 22:50:32	170 Query	SELECT * FROM ventas
260109 22:52:10	170 Query	SELECT * FROM clientes
260109 22:53:54	170 Query	SHOW TABLES
260109 22:54:36	170 Quit	
260109 22:17:01	171 Connect	user171@localhost on practica using TCP/IP
260109 22:18:31	171 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 22:18:59	171 Query	SELECT * FROM clientes
260109 22:19:35	171 Query	SELECT * FROM clientes
260109 22:20:36	171 Query	SELECT * FROM proveedores
260109 22:20:46	171 Quit	
260109 21:52:01	172 Connect	user172@localhost on practica using TCP/IP
260109 21:53:40	172 Query	SELECT * FROM clientes
260109 21:55:40	172 Query	SHOW COLUMNS FROM articulos
260109 21:56:30	172 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 21:56:40	172 Query	SHOW COLUMNS FROM articulos
260109 21:56:49	172 Quit	
260109 21:46:01	173 Connect	user173@localhost on practica using TCP/IP
260109 21:47:18	173 Query	SELECT * FROM proveedores
260109 21:48:58	173 Query	SHOW COLUMNS FROM articulos
260109 21:49:24	173 Query	SHOW COLUMNS FROM articulos
260109 21:50:55	173 Query	SHOW COLUMNS FROM articulos
260109 21:51:36	173 Quit	
260109 21:22:01	174 Connect	user174@localhost on practica using TCP/IP
260109 21:23:05	174 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 21:24:04	174 Query	SHOW TABLES
260109 21:25:08	174 Query	SELECT * FROM proveedores
260109 21:26:23	174 Query	SELECT * FROM clientes
260109 21:26:58	174 Query	SELECT * FROM ventas
260109 21:27:10	174 Query	SELECT * FROM articulos
260109 21:27:59	174 Quit	
260109 20:47:01	175 Connect	user175@localhost on practica using TCP/IP
260109 20:48:50	175 Query	SHOW COLUMNS FROM articulos
260109 20:49:15	175 Query	SHOW COLUMNS FROM articulos
260109 20:51:06	175 Query	SHOW TABLES
260109 20:52:20	175 Query	SELECT * FROM clientes
260109 20:53:36	175 Query	SHOW TABLES
260109 20:55:09	175 Query	SELECT * FROM ventas
260109 20:55:22	175 Quit	
260109 20:14:01	176 Connect	user176@localhost on practica using TCP/IP
260109 20:15:55	176 Query	SELECT * FROM proveedores
260109 20:16:11	176 Query	SELECT * FROM ventas
260109 20:16:32	176 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 20:18:14	176 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 20:18:53	176 Query	SHOW COLUMNS FROM articulos
260109 20:19:17	176 Quit	
260109 19:31:01	177 Connect	user177@localhost on practica using TCP/IP
260109 19:31:42	177 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 19:33:05	177 Query	SHOW COLUMNS FROM articulos
260109 19:34:25	177 Query	SHOW TABLES
260109 19:36:15	177 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 19:37:00	177 Quit	
260109 19:20:01	178 Connect	user178@localhost on practica using TCP/IP
260109 19:20:10	178 Query	SELECT * FROM clientes
260109 19:21:55	178 Query	SELECT * FROM proveedores
260109 19:22:07	178 Query	SHOW TABLES
260109 19:22:29	178 Quit	
260109 18:41:01	179 Connect	user179@localhost on practica using TCP/IP
260109 18:41:50	179 Query	SELECT * FROM proveedores
260109 18:43:36	179 Query	SELECT * FROM articulos
260109 18:44:11	179 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 18:44:50	179 Query	SHOW TABLES
260109 18:45:22	179 Query	SELECT * FROM articulos
260109 18:46:22	179 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 18:47:12	179 Quit	
260109 18:13:01	180 Connect	user180@localhost on practica using TCP/IP
260109 18:14:29	180 Query	SELECT * FROM clientes
260109 18:15:16	180 Query	SELECT * FROM ventas
260109 18:16:58	180 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 18:17:24	180 Query	SELECT * FROM clientes
260109 18:18:02	180 Query	SELECT * FROM clientes
260109 18:18:26	180 Quit	
260109 18:00:01	181 Connect	user181@localhost on practica using TCP/IP
260109 18:00:33	181 Query	SHOW TABLES
260109 18:01:49	181 Query	SELECT * FROM articulos
260109 18:03:41	181 Query	SELECT * FROM articulos
260109 18:03:48	181 Query	SHOW COLUMNS FROM articulos
260109 18:04:46	181 Query	SHOW COLUMNS FROM articulos
260109 18:05:23	181 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 18:05:29	181 Quit	
260109 17:47:01	182 Connect	user182@localhost on practica using TCP/IP
260109 17:48:30	182 Query	SELECT * FROM proveedores
260109 17:50:26	182 Query	SELECT * FROM proveedores
260109 17:51:53	182 Query	SELECT * FROM proveedores
260109 17:53:29	182 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 17:53:54	182 Quit	
260109 17:33:01	183 Connect	user183@localhost on practica using TCP/IP
260109 17:33:07	183 Query	SELECT * FROM articulos
260109 17:33:44	183 Query	SELECT * FROM articulos
260109 17:35:32	183 Query	SHOW TABLES
260109 17:35:37	183 Query	SELECT * FROM clientes
260109 17:35:54	183 Quit	
260109 17:26:01	184 Connect	user184@localhost on practica using TCP/IP
260109 17:27:47	184 Query	SELECT * FROM proveedores
260109 17:28:43	184 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 17:29:39	184 Query	SHOW TABLES
260109 17:30:32	184 Query	SELECT * FROM proveedores
260109 17:32:14	184 Query	SELECT * FROM clientes
260109 17:32:42	184 Quit	
260109 17:04:01	185 Connect	user185@localhost on practica using TCP/IP
260109 17:04:49	185 Query	SELECT * FROM articulos
260109 17:06:40	185 Query	SELECT * FROM articulos
260109 17:07:19	185 Query	SELECT * FROM clientes
260109 17:09:17	185 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 17:10:07	185 Quit	
260109 16:40:01	186 Connect	user186@localhost on practica using TCP/IP
260109 16:40:55	186 Query	SHOW COLUMNS FROM articulos
260109 16:42:10	186 Query	SELECT * FROM articulos
260109 16:42:38	186 Query	SELECT * FROM ventas
260109 16:42:48	186 Query	SHOW TABLES
260109 16:43:18	186 Quit	
260109 16:21:01	187 Connect	user187@localhost on practica using TCP/IP
260109 16:22:56	187 Query	SELECT * FROM articulos
260109 16:24:33	187 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 16:24:51	187 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 16:25:39	187 Query	SHOW COLUMNS FROM articulos
260109 16:26:26	187 Query	SELECT * FROM clientes
260109 16:26:43	187 Quit	
260109 15:39:01	188 Connect	user188@localhost on practica using TCP/IP
260109 15:39:30	188 Query	SELECT * FROM clientes
260109 15:40:37	188 Query	SELECT * FROM articulos
260109 15:41:55	188 Query	SELECT * FROM ventas
260109 15:43:44	188 Query	SELECT * FROM articulos
260109 15:44:44	188 Quit	
260109 15:06:01	189 Connect	user189@localhost on practica using TCP/IP
260109 15:06:51	189 Query	SHOW TABLES
260109 15:08:38	189 Query	SELECT * FROM clientes
260109 15:09:29	189 Query	SHOW TABLES
260109 15:11:03	189 Query	SHOW TABLES
260109 15:13:00	189 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 15:13:32	189 Quit	
260109 14:48:01	190 Connect	user190@localhost on practica using TCP/IP
260109 14:48:28	190 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 14:49:02	190 Query	SELECT * FROM clientes
260109 14:49:55	190 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 14:50:42	190 Query	SELECT * FROM ventas
260109 14:52:12	190 Query	SELECT * FROM proveedores
260109 14:53:42	190 Query	SELECT * FROM ventas
260109 14:54:29	190 Quit	
260109 14:37:01	191 Connect	user191@localhost on practica using TCP/IP
260109 14:37:13	191 Query	SELECT * FROM clientes
260109 14:39:04	191 Query	SELECT * FROM ventas
260109 14:40:49	191 Query	SHOW COLUMNS FROM articulos
260109 14:42:20	191 Query	SELECT * FROM clientes
260109 14:42:30	191 Quit	
260109 14:30:01	192 Connect	user192@localhost on practica using TCP/IP
260109 14:30:32	192 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 14:31:28	192 Query	SELECT * FROM clientes
260109 14:32:12	192 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 14:32:18	192 Query	SELECT * FROM articulos
260109 14:33:35	192 Query	SHOW COLUMNS FROM articulos
260109 14:34:08	192 Quit	
260109 14:22:01	193 Connect	user193@localhost on practica using TCP/IP
260109 14:23:12	193 Query	SELECT * FROM clientes
260109 14:24:17	193 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 14:25:24	193 Query	SELECT * FROM proveedores
260109 14:26:06	193 Query	SHOW TABLES
260109 14:27:56	193 Query	SELECT * FROM clientes
260109 14:28:22	193 Quit	
260109 13:48:01	194 Connect	user194@localhost on practica using TCP/IP
260109 13:48:08	194 Query	SELECT * FROM proveedores
260109 13:50:00	194 Query	SELECT * FROM ventas
260109 13:51:36	194 Query	SHOW TABLES
260109 13:53:35	194 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 13:54:05	194 Quit	
260109 13:31:01	195 Connect	user195@localhost on practica using TCP/IP
260109 13:31:13	195 Query	SELECT * FROM articulos
260109 13:31:21	195 Query	SELECT * FROM clientes
260109 13:32:59	195 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 13:34:54	195 Query	SELECT * FROM clientes
260109 13:36:53	195 Query	SELECT * FROM ventas
260109 13:37:19	195 Quit	
260109 12:54:01	196 Connect	user196@localhost on practica using TCP/IP
260109 12:54:49	196 Query	SHOW COLUMNS FROM articulos
260109 12:56:21	196 Query	SELECT * FROM proveedores
260109 12:56:57	196 Query	SELECT * FROM articulos
260109 12:57:52	196 Quit	
260109 12:29:01	197 Connect	user197@localhost on practica using TCP/IP
260109 12:29:51	197 Query	SELECT * FROM ventas
260109 12:31:49	197 Query	SELECT * FROM proveedores
260109 12:33:19	197 Query	SHOW COLUMNS FROM articulos
260109 12:34:31	197 Query	SELECT * FROM ventas
260109 12:35:17	197 Query	SELECT * FROM clientes
260109 12:37:10	197 Query	SHOW TABLES
260109 12:37:27	197 Quit	
260109 11:45:01	198 Connect	user198@localhost on practica using TCP/IP
260109 11:46:09	198 Query	SELECT * FROM clientes
260109 11:47:04	198 Query	SHOW COLUMNS FROM articulos
260109 11:47:36	198 Query	SELECT * FROM articulos
260109 11:49:26	198 Query	SELECT * FROM ventas
260109 11:50:10	198 Query	SHOW TABLES
260109 11:51:36	198 Query	SELECT * FROM articulos
260109 11:52:20	198 Quit	
260109 11:21:01	199 Connect	user199@localhost on practica using TCP/IP
260109 11:21:28	199 Query	SHOW TABLES
260109 11:22:06	199 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260109 11:22:30	199 Query	SELECT * FROM ventas
260109 11:23:13	199 Quit	
260109 11:12:01	200 Connect	user200@localhost on practica using TCP/IP
260109 11:13:30	200 Query	SELECT * FROM clientes
260109 11:14:19	200 Query	SELECT * FROM clientes
260109 11:15:56	200 Query	SHOW COLUMNS FROM articulos
260109 11:16:22	200 Query	SELECT * FROM articulos
260109 11:17:04	200 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260109 11:17:16	200 Quit	
